role,index,window,target,predicted,residual,percent_error
CS03-Q0103,189,development,379.87297534653237,352.44729696547245,-27.425678381059925,7.219697151670591
CS03-Q0103,190,development,381.4844686171865,353.0157981097776,-28.468670507408888,7.462602766136919
CS03-Q0103,191,development,383.44352944953647,353.81640944413465,-29.62712000540182,7.726592765285124
CS03-Q0103,192,development,384.95611681486366,354.84279537394104,-30.11332144092262,7.82253356306713
CS03-Q0103,193,development,385.86130084597426,355.9083135286934,-29.952987317280872,7.7626305751862175
CS03-Q0103,194,development,387.222890222388,356.17445131683127,-31.048438905556736,8.01823437858365
CS03-Q0103,195,development,388.84612835423223,358.40374370229586,-30.44238465193638,7.828902599797492
CS03-Q0103,196,development,391.45608356363806,358.41074447350894,-33.04533909012912,8.441646579943116
CS03-Q0103,197,development,392.2450833395191,358.4571872587833,-33.787896080735834,8.613975678948089
CS03-Q0103,198,development,393.427743844434,358.5115094978967,-34.916234346537294,8.874878524160103
CS03-Q0103,199,development,395.5828700109937,362.87655146445326,-32.706318546540444,8.267880392705452
CS03-Q0103,200,development,396.3818542225922,366.30727096598105,-30.074583256611163,7.587275486057563
CS03-Q0103,201,postfreeze-evaluation,397.9187362096142,369.08447291382555,-28.834263295788674,7.24626931881877
CS03-Q0103,202,postfreeze-evaluation,399.9851198761949,369.3204361858225,-30.664683690372442,7.666456117133533
CS03-Q0103,203,postfreeze-evaluation,401.8392286005332,369.57404295884584,-32.26518564168737,8.029376761959211
CS03-Q0103,204,postfreeze-evaluation,402.86191776388614,370.09973485002456,-32.76218291386158,8.132360362009498
CS03-Q0103,205,postfreeze-evaluation,404.236441800208,370.9293190894148,-33.30712271079324,8.239515112112313
CS03-Q0103,206,postfreeze-evaluation,405.13438745990993,372.8569532159551,-32.277434243954815,7.967093202412699
CS03-Q0103,207,postfreeze-evaluation,407.5814603868962,375.1358146841951,-32.445645702701086,7.960530312615814
CS03-Q0103,208,postfreeze-evaluation,408.9472455023511,376.03861380306836,-32.90863169928275,8.047158175343071
