control_type,control_id,N,s,z,E,degree,d0_residual,magnitude_min,magnitude_max,magnitude_range
inventory,primes,8,(1.5+0.75j),0.6,0.041767994568923716,8,0.0,0.7267234919213394,0.7900749206728253,0.0633514287514858
inventory,composites,8,(1.25+0j),0.15,0.000978100279302183,8,0.0,0.913297021038477,0.9150853619620407,0.0017883409235637249
inventory,composites,8,(1.25+0j),0.35,0.005560163211121785,8,0.0,0.8048516534699868,0.813851845556318,0.009000192086331182
inventory,composites,8,(1.25+0j),0.6,0.017281412672712857,8,0.0,0.6805303815607269,0.7044634267659624,0.023933045205235537
inventory,composites,8,(1.5+0j),0.15,0.0003878330770876731,8,0.0,0.9458990806208069,0.9466330671655819,0.0007339865447750782
inventory,composites,8,(1.5+0j),0.35,0.0021754025516502852,8,0.0,0.8763551851941355,0.8801763448726619,0.0038211596785264756
inventory,composites,8,(1.5+0j),0.6,0.006642271949894687,8,0.0,0.7935462403717992,0.8041585409619982,0.01061230059019902
inventory,composites,8,(2+0j),0.15,6.73251113045788e-05,8,0.0,0.9783989052840635,0.978530655784502,0.0001317505004385655
inventory,composites,8,(2+0j),0.35,0.00037197850937036806,8,0.0,0.9499390379523321,0.9506460147348935,0.0007069767825613749
inventory,composites,8,(2+0j),0.6,0.001113716553775561,8,0.0,0.9149129891319123,0.9169531684819869,0.0020401793500746113
inventory,composites,8,(1.5+0.75j),0.15,0.0003321339111965581,8,0.0,0.9925135240939764,0.9931730377957722,0.0006595137017957331
inventory,composites,8,(1.5+0.75j),0.35,0.001833912961213754,8,0.0,0.9821843801803095,0.9857934770604222,0.0036090968801126833
inventory,composites,8,(1.5+0.75j),0.6,0.005482454426446059,8,0.0,0.9687104129543187,0.9793906001109393,0.010680187156620558
inventory,shuffled_primes,8,(1.25+0j),0.15,7.916261460189606e-07,8,0.0,0.9975425847165392,0.9975441640793731,1.5793628338478527e-06
inventory,shuffled_primes,8,(1.25+0j),0.35,4.3178606964008324e-06,8,0.0,0.9942697178877488,0.994278304161096,8.586273347210849e-06
inventory,shuffled_primes,8,(1.25+0j),0.6,1.2718346876864844e-05,8,0.0,0.9901845615931978,0.9902097489349914,2.5187341793575513e-05
inventory,shuffled_primes,8,(1.5+0j),0.15,1.0035354018158827e-07,8,0.0,0.999176966581408,0.9991771671233197,2.0054191174345704e-07
inventory,shuffled_primes,8,(1.5+0j),0.35,5.467662833448751e-07,8,0.0,0.9980798620039746,0.9980809534374047,1.0914334300782258e-06
inventory,shuffled_primes,8,(1.5+0j),0.6,1.6082840866395103e-06,8,0.0,0.9967089207043885,0.996712126691737,3.2059873484868717e-06
inventory,shuffled_primes,8,(2+0j),0.15,1.9179720111936127e-09,8,0.0,0.9998976949574183,0.99989769879297,3.835551654063352e-09
inventory,shuffled_primes,8,(2+0j),0.35,1.0443456159869031e-08,8,0.0,0.9997612881359319,0.9997613090178585,2.088192663229904e-08
inventory,shuffled_primes,8,(2+0j),0.6,3.069525052790735e-08,8,0.0,0.999590779451935,0.9995908408173158,6.13653807768344e-08
inventory,shuffled_primes,8,(1.5+0.75j),0.15,7.765620505057685e-08,8,0.0,1.0006961278471547,1.0006962832666466,1.554194919428653e-07
inventory,shuffled_primes,8,(1.5+0.75j),0.35,4.224872374440232e-07,8,0.0,1.0016244522874003,1.001625298629895,8.463424947535714e-07
inventory,shuffled_primes,8,(1.5+0.75j),0.6,1.2404666239270688e-06,8,0.0,1.0027851051616299,1.0027875929955756,2.487833945741258e-06
inventory,random_increasing,8,(1.25+0j),0.15,1.9357948462921488e-05,8,0.0,0.9885368427313674,0.98857511556276,3.827283139257176e-05
inventory,random_increasing,8,(1.25+0j),0.35,0.00010629038649389785,8,0.0,0.9733392135892449,0.9735461487866359,0.00020693519739101163
inventory,random_increasing,8,(1.25+0j),0.6,0.0003157167346528095,8,0.0,0.9544814050172414,0.9550842868560807,0.0006028818388392754
