atom_cutoff,atom_count,point,sigma,t,q,sector,partial_norm,infinite_limit_status
257,55,left_outer,-0.25,0.0,1,L_1_minus_s,1.2274302905507959,S_q
257,55,left_outer,-0.25,0.0,1,difference,166.92012828263208,NO_COMMON_S_q_CERTIFICATE
257,55,left_outer,-0.25,0.0,1,relative_ratio_minus_identity,54.16737256114727,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,left_outer,-0.25,0.0,2,L_s,23.333396370320973,DIVERGENT_INFINITE_LIMIT
257,55,left_outer,-0.25,0.0,2,L_1_minus_s,0.5231210431200596,S_q
257,55,left_outer,-0.25,0.0,2,difference,23.25394549952212,NO_COMMON_S_q_CERTIFICATE
257,55,left_outer,-0.25,0.0,2,relative_ratio_minus_identity,7.315019245751736,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,left_outer,-0.25,0.0,4,L_s,8.92253086013047,DIVERGENT_INFINITE_LIMIT
257,55,left_outer,-0.25,0.0,4,L_1_minus_s,0.43484476759412566,S_q
257,55,left_outer,-0.25,0.0,4,difference,8.9122437686616,NO_COMMON_S_q_CERTIFICATE
257,55,left_outer,-0.25,0.0,4,relative_ratio_minus_identity,2.6921174493930478,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,left_strip,0.25,0.0,1,L_s,19.59089386992206,DIVERGENT_INFINITE_LIMIT
257,55,left_strip,0.25,0.0,1,L_1_minus_s,3.6632411325077245,DIVERGENT_INFINITE_LIMIT
257,55,left_strip,0.25,0.0,1,difference,15.927652737414336,NO_COMMON_S_q_CERTIFICATE
257,55,left_strip,0.25,0.0,1,relative_ratio_minus_identity,47.1338254308496,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,left_strip,0.25,0.0,2,L_s,2.8046701355329473,DIVERGENT_INFINITE_LIMIT
257,55,left_strip,0.25,0.0,2,L_1_minus_s,0.9124842129334247,S_q
257,55,left_strip,0.25,0.0,2,difference,2.173417010719605,NO_COMMON_S_q_CERTIFICATE
257,55,left_strip,0.25,0.0,2,relative_ratio_minus_identity,6.423019625881435,NOT_COMPACT_NO_OPEN_DOMAIN
