vertex_count,mask,first,second,strict_external_witness_exists,minimal_repair
4,4844,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4844,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4845,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4845,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4845,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4846,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4846,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4847,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4847,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4853,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4860,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4861,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4861,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4916,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4917,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4924,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4925,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4931,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4938,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4939,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4939,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4963,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4970,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4971,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4971,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5028,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5029,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5034,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5035,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5036,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5036,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5037,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5037,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5038,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5039,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5044,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5045,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5052,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5053,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5066,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5067,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5098,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5099,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5290,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5291,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5294,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5295,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5354,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5355,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5358,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5359,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5458,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5459,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5466,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5467,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,5478,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
