variant,seed,s,theta,cutoff,degree,coefficient_real,coefficient_imag,coefficient_abs
maslov_action,,0.5,1.0,16,1,-0.081918958664497,0.1404071753596976,0.16255734582344916
maslov_action,,0.5,1.0,16,2,-0.0015951885612350593,-0.002821998975790302,0.003241651549018909
maslov_action,,0.5,1.0,16,3,0.007523661677402522,0.00037343088454501856,0.007532923447211408
maslov_action,,0.5,1.0,16,4,0.001560491369726071,0.0002061507404503731,0.0015740493774903587
maslov_action,,0.5,1.0,16,5,-3.333169038225268e-05,4.592861450229487e-05,5.6748913767919525e-05
maslov_action,,0.5,1.0,16,6,-4.328654461225523e-07,-1.2472522602002606e-07,4.504762773472348e-07
maslov_action,,0.5,1.0,16,7,-3.4427769107517695e-08,1.4924035807914835e-08,3.752330116762748e-08
maslov_action,,0.5,1.0,16,8,4.691992931173704e-09,9.827534281904877e-10,4.7938087119538005e-09
maslov_action,,0.5,1.0,16,9,2.2338697995404268e-12,2.042541556806909e-11,2.054720845783237e-11
maslov_action,,0.5,1.0,16,10,4.587064861818338e-12,4.75898085990584e-13,4.611685487408914e-12
maslov_action,,0.5,1.0,16,11,-1.2958631759807206e-13,3.106667678461665e-14,1.332582159383362e-13
maslov_action,,0.5,1.0,16,12,4.3453516938488184e-15,-4.282231643998014e-15,6.10078594904728e-15
maslov_action,,0.5,1.0,16,13,1.3991861053724328e-16,-2.3635487228107343e-18,1.399385720137156e-16
maslov_action,,0.5,1.0,16,14,-2.0186559154810575e-17,-1.8839756916341534e-18,2.027428259932605e-17
maslov_action,,0.5,1.0,16,15,4.512029049396489e-19,-4.904260104690812e-20,4.538603729600372e-19
maslov_action,,0.5,1.0,16,16,-1.6714735240282461e-21,6.991356386692332e-21,7.18838562316123e-21
maslov_action,,0.5,1.0,20,0,1.0,0.0,1.0
maslov_action,,0.5,1.0,20,1,-0.081918958664497,0.1404071753596976,0.16255734582344916
maslov_action,,0.5,1.0,20,2,-0.0015951885612350593,-0.002821998975790302,0.003241651549018909
maslov_action,,0.5,1.0,20,3,0.007523661677402522,0.00037343088454501856,0.007532923447211408
maslov_action,,0.5,1.0,20,4,0.001560491369726071,0.0002061507404503731,0.0015740493774903587
maslov_action,,0.5,1.0,20,5,-3.333169038225268e-05,4.592861450229487e-05,5.6748913767919525e-05
maslov_action,,0.5,1.0,20,6,-4.328654461225523e-07,-1.2472522602002606e-07,4.504762773472348e-07
maslov_action,,0.5,1.0,20,7,-3.4427769107517695e-08,1.4924035807914835e-08,3.752330116762748e-08
maslov_action,,0.5,1.0,20,8,4.691992931173704e-09,9.827534281904877e-10,4.7938087119538005e-09
maslov_action,,0.5,1.0,20,9,2.2338697995404268e-12,2.042541556806909e-11,2.054720845783237e-11
maslov_action,,0.5,1.0,20,10,4.587064861818338e-12,4.75898085990584e-13,4.611685487408914e-12
maslov_action,,0.5,1.0,20,11,-1.2958631759807206e-13,3.106667678461665e-14,1.332582159383362e-13
maslov_action,,0.5,1.0,20,12,4.3453516938488184e-15,-4.282231643998014e-15,6.10078594904728e-15
maslov_action,,0.5,1.0,20,13,1.3991861053724328e-16,-2.3635487228107343e-18,1.399385720137156e-16
maslov_action,,0.5,1.0,20,14,-2.0186559154810575e-17,-1.8839756916341534e-18,2.027428259932605e-17
maslov_action,,0.5,1.0,20,15,4.512029049396489e-19,-4.904260104690812e-20,4.538603729600372e-19
maslov_action,,0.5,1.0,20,16,-1.6714735240282461e-21,6.991356386692332e-21,7.18838562316123e-21
maslov_action,,0.5,1.0,20,17,-1.4842418005979069e-21,-8.338178246372077e-23,1.4865820677947598e-21
maslov_action,,0.5,1.0,20,18,7.394003782781946e-23,2.462729223033311e-23,7.793351471977635e-23
maslov_action,,0.5,1.0,20,19,-4.913085505069278e-25,-2.931865493506208e-25,5.721384836919664e-25
maslov_action,,0.5,1.0,20,20,-8.804949879714845e-26,-2.84242361369235e-26,9.252378850002109e-26
orientation_fallback,,0.0,0.0,8,0,1.0,0.0,1.0
orientation_fallback,,0.0,0.0,8,1,-0.43472087194499137,0.0,0.43472087194499137
orientation_fallback,,0.0,0.0,8,2,0.023183239132145525,-0.0,0.023183239132145525
orientation_fallback,,0.0,0.0,8,3,0.08624434240777135,-0.0,0.08624434240777135
orientation_fallback,,0.0,0.0,8,4,-0.048317435530897124,0.0,0.048317435530897124
orientation_fallback,,0.0,0.0,8,5,0.003140067125293214,-0.0,0.003140067125293214
orientation_fallback,,0.0,0.0,8,6,-7.381181141896212e-05,0.0,7.381181141896212e-05
orientation_fallback,,0.0,0.0,8,7,1.4551117544952985e-05,-0.0,1.4551117544952985e-05
orientation_fallback,,0.0,0.0,8,8,3.1794803660635816e-06,-0.0,3.1794803660635816e-06
orientation_fallback,,0.0,0.0,12,0,1.0,0.0,1.0
orientation_fallback,,0.0,0.0,12,1,-0.43472087194499137,0.0,0.43472087194499137
orientation_fallback,,0.0,0.0,12,2,0.023183239132145525,-0.0,0.023183239132145525
orientation_fallback,,0.0,0.0,12,3,0.08624434240777135,-0.0,0.08624434240777135
orientation_fallback,,0.0,0.0,12,4,-0.048317435530897124,0.0,0.048317435530897124
orientation_fallback,,0.0,0.0,12,5,0.003140067125293214,-0.0,0.003140067125293214
orientation_fallback,,0.0,0.0,12,6,-7.381181141896212e-05,0.0,7.381181141896212e-05
orientation_fallback,,0.0,0.0,12,7,1.4551117544952985e-05,-0.0,1.4551117544952985e-05
orientation_fallback,,0.0,0.0,12,8,3.1794803660635816e-06,-0.0,3.1794803660635816e-06
orientation_fallback,,0.0,0.0,12,9,-6.430213862603529e-09,0.0,6.430213862603529e-09
orientation_fallback,,0.0,0.0,12,10,-6.775887412800459e-09,0.0,6.775887412800459e-09
orientation_fallback,,0.0,0.0,12,11,-1.939902195635163e-10,0.0,1.939902195635163e-10
orientation_fallback,,0.0,0.0,12,12,7.140484141736781e-11,-0.0,7.140484141736781e-11
orientation_fallback,,0.0,0.0,16,0,1.0,0.0,1.0
orientation_fallback,,0.0,0.0,16,1,-0.43472087194499137,0.0,0.43472087194499137
orientation_fallback,,0.0,0.0,16,2,0.023183239132145525,-0.0,0.023183239132145525
orientation_fallback,,0.0,0.0,16,3,0.08624434240777135,-0.0,0.08624434240777135
orientation_fallback,,0.0,0.0,16,4,-0.048317435530897124,0.0,0.048317435530897124
orientation_fallback,,0.0,0.0,16,5,0.003140067125293214,-0.0,0.003140067125293214
orientation_fallback,,0.0,0.0,16,6,-7.381181141896212e-05,0.0,7.381181141896212e-05
orientation_fallback,,0.0,0.0,16,7,1.4551117544952985e-05,-0.0,1.4551117544952985e-05
orientation_fallback,,0.0,0.0,16,8,3.1794803660635816e-06,-0.0,3.1794803660635816e-06
orientation_fallback,,0.0,0.0,16,9,-6.430213862603529e-09,0.0,6.430213862603529e-09
orientation_fallback,,0.0,0.0,16,10,-6.775887412800459e-09,0.0,6.775887412800459e-09
orientation_fallback,,0.0,0.0,16,11,-1.939902195635163e-10,0.0,1.939902195635163e-10
orientation_fallback,,0.0,0.0,16,12,7.140484141736781e-11,-0.0,7.140484141736781e-11
orientation_fallback,,0.0,0.0,16,13,2.4658759963990563e-12,-0.0,2.4658759963990563e-12
orientation_fallback,,0.0,0.0,16,14,-4.681339355758269e-13,0.0,4.681339355758269e-13
orientation_fallback,,0.0,0.0,16,15,1.2270273659797647e-14,-0.0,1.2270273659797647e-14
