p,iterate,fix_count
137,7,2
137,8,10
137,9,20
137,10,17
137,11,24
137,12,8
137,13,15
137,14,2
137,15,22
137,16,26
137,17,19
137,18,44
137,19,21
137,20,57
137,21,44
137,22,46
137,23,2
137,24,64
137,25,7
137,26,41
137,27,20
137,28,2
137,29,60
137,30,68
137,31,2
137,32,26
137,33,90
137,34,19
137,35,7
137,36,44
137,37,39
137,38,21
137,39,15
137,40,145
137,41,2
137,42,50
137,43,2
137,44,46
137,45,130
137,46,48
137,47,2
137,48,128
137,49,2
137,50,117
137,51,19
137,52,41
137,53,55
137,54,44
137,55,194
137,56,122
137,57,78
137,58,60
137,59,2
137,60,168
137,61,2
137,62,2
137,63,125
137,64,26
139,1,2
139,2,2
139,3,8
139,4,10
139,5,7
139,6,14
139,7,9
139,8,18
139,9,8
139,10,17
139,11,13
139,12,22
139,13,15
139,14,9
139,15,13
139,16,34
139,17,36
139,18,14
139,19,40
139,20,105
139,21,15
139,22,35
139,23,71
139,24,78
139,25,57
139,26,15
139,27,35
139,28,17
139,29,60
139,30,59
139,31,2
139,32,66
139,33,19
139,34,138
139,35,14
139,36,58
139,37,39
139,38,40
139,39,60
139,40,113
139,41,43
139,42,21
139,43,45
139,44,43
139,45,103
139,46,71
139,47,49
139,48,142
139,49,107
139,50,117
139,51,42
139,52,23
139,53,55
139,54,95
139,55,18
139,56,25
139,57,46
139,58,60
139,59,61
139,60,267
139,61,2
139,62,2
139,63,15
139,64,66
149,1,2
149,2,2
149,3,8
149,4,10
149,5,2
149,6,32
149,7,37
149,8,50
149,9,35
149,10,2
149,11,2
149,12,64
149,13,15
149,14,37
149,15,8
149,16,50
149,17,19
149,18,95
149,19,21
149,20,50
149,21,64
149,22,24
149,23,2
149,24,128
149,25,2
149,26,41
149,27,35
149,28,45
149,29,60
149,30,62
149,31,33
149,32,82
149,33,41
149,34,19
149,35,37
149,36,127
149,37,2
149,38,21
149,39,60
149,40,130
149,41,2
149,42,130
149,43,2
149,44,120
149,45,80
149,46,2
149,47,96
149,48,224
149,49,86
149,50,2
149,51,76
149,52,49
149,53,2
149,54,95
149,55,57
149,56,85
149,57,84
149,58,118
149,59,2
149,60,134
149,61,63
149,62,33
149,63,280
149,64,82
151,1,0
151,2,0
151,3,6
151,4,0
151,5,5
151,6,12
151,7,7
151,8,0
151,9,15
151,10,5
151,11,11
151,12,12
151,13,0
151,14,7
151,15,41
151,16,16
151,17,0
151,18,39
151,19,0
151,20,25
151,21,13
151,22,33
151,23,46
151,24,36
151,25,5
151,26,0
151,27,15
151,28,7
151,29,0
151,30,47
151,31,31
151,32,80
151,33,17
151,34,34
151,35,47
151,36,147
151,37,0
151,38,38
151,39,6
151,40,65
151,41,41
151,42,19
151,43,0
151,44,33
151,45,50
151,46,46
151,47,0
151,48,52
151,49,105
151,50,55
151,51,108
151,52,0
151,53,0
151,54,39
151,55,16
151,56,7
151,57,6
151,58,58
151,59,0
151,60,67
151,61,0
151,62,93
151,63,22
151,64,144
157,1,0
157,2,2
157,3,0
157,4,2
157,5,20
157,6,14
157,7,0
157,8,18
157,9,18
157,10,32
157,11,22
157,12,38
157,13,26
157,14,2
157,15,20
157,16,34
157,17,0
157,18,50
