cutoff_k,grid_id,sigma,tau,observable,method,value_re,value_im,abs_diff_vs_mpmath_100
18,C225_7,2.25,7.0,liouville,numpy_complex128,0.8059359854763811,-0.07448326779833048,4.713167469420766197181398297700285220762e-16
18,C225_7,2.25,7.0,liouville,mpmath_50dps,0.80593598547638091156963547770263846212487782436284,-0.074483267798330047989035238623103660579282618751097,5.099386812049073008996164361946646638298e-51
18,C225_7,2.25,7.0,liouville,mpmath_100dps,0.8059359854763809115696354777026384621248778243628349018577002026058582851614509744211025063785511905,-0.07448326779833004798903523862310366057928261875109688734588371237894946597832002618367786880918439678,0.0
18,C275_3,2.75,3.0,liouville,numpy_complex128,1.1246754787267337,0.11387131730069154,1.276979751589112257481885052183025729777e-15
18,C275_3,2.75,3.0,liouville,mpmath_50dps,1.1246754787267349508255609227150002485464640531359,0.11387131730069179712390419983559829519078010298111,2.686919703007053793021924834500589854551e-50
18,C275_3,2.75,3.0,liouville,mpmath_100dps,1.124675478726734950825560922715000248546464053135926671443668651255830483072809838371008065740751955,0.1138713173006917971239041998355982951907801029811067461036170900808210370401799024736445352738790569,0.0
18,C325_11,3.25,11.0,liouville,numpy_complex128,0.9167473571319728,0.05611531299215196,1.189058673446155033641708546840830450423e-15
18,C325_11,3.25,11.0,liouville,mpmath_50dps,0.91674735713197398899648719619162688990532486534838,0.056115312992151947839311999460130574060514225196065,3.187787588765542913534807074719831593074e-51
18,C325_11,3.25,11.0,liouville,mpmath_100dps,0.9167473571319739889964871961916268899053248653483768402326955974919482989645496905745458263559324432,0.0561153129921519478393119994601305740605142251960645782651388413068817060118313849979014695061252953,0.0
22,R160,1.6,0.0,unsigned,numpy_complex128,24.01606480851428,0.0,6.929026598012983737908218851302940442633e-15
22,R160,1.6,0.0,unsigned,mpmath_50dps,24.01606480851427307097340198701626209178114869706,0.0,4.426333577687753901534824218483772025344e-49
22,R160,1.6,0.0,unsigned,mpmath_100dps,24.01606480851427307097340198701626209178114869705955736664223122460984651757815162279746556014074699,0.0,0.0
22,R175,1.75,0.0,unsigned,numpy_complex128,11.503213258613625,0.0,3.835643614746433138710135296957913588468e-15
22,R175,1.75,0.0,unsigned,mpmath_50dps,11.503213258613621164356385253566861289864703042086,0.0,4.11532314177430890179462707896079598253e-49
22,R175,1.75,0.0,unsigned,mpmath_100dps,11.5032132586136211643563852535668612898647030420864115323141774308901794627078960795982530237437142,0.0,0.0
22,R190,1.9,0.0,unsigned,numpy_complex128,6.325194991804481,0.0,1.302586165796156932299318777302876829788e-15
22,R190,1.9,0.0,unsigned,mpmath_50dps,6.3251949918044823025861657961569322993187773028768,0.0,2.978807245367010193953064047049685175739e-50
22,R190,1.9,0.0,unsigned,mpmath_100dps,6.325194991804482302586165796156932299318777302876829788072453670101939530640470496851757390134324518,0.0,0.0
22,R200,2.0,0.0,unsigned,numpy_complex128,4.588462566475215,0.0,1.223744913177763582424704984241087976995e-15
22,R200,2.0,0.0,unsigned,mpmath_50dps,4.588462566475213776255086822236417575295015758912,0.0,2.300452794608155637996097768242795840854e-50
22,R200,2.0,0.0,unsigned,mpmath_100dps,4.588462566475213776255086822236417575295015758912023004527946081556379960977682427958408543730516649,0.0,0.0
22,R2125,2.125,0.0,unsigned,numpy_complex128,3.327720677313408,0.0,2.176843542393221618170471287746474396081e-15
22,R2125,2.125,0.0,unsigned,mpmath_50dps,3.3277206773134058231564576067783818295287122535256,0.0,3.919351406122269685788260616573079767924e-51
22,R2125,2.125,0.0,unsigned,mpmath_100dps,3.327720677313405823156457606778381829528712253525603919351406122269685788260616573079767924424878008,0.0,0.0
22,R250,2.5,0.0,unsigned,numpy_complex128,1.8725707541831371,0.0,4.351968501351440821631352429679995953157e-16
22,R250,2.5,0.0,unsigned,mpmath_50dps,1.8725707541831366648031498648559178368647570320004,0.0,4.684312510813716056783516648713196342191e-51
