p,cycle_length,simulated_length,harmonic_lower_bound,length_over_log_p,optimal_max_weight_sigma_1,optimal_max_weight_sigma_2,source_roof_over_log_p
83,157,157,153.80436507936508,35.529681637076784,0.9722469124966496,0.9452640588592679,283.8433422474658
89,168,168,164.77817460317462,37.42784805043707,0.9736356964127008,0.9479664693290448,303.8924237358889
97,184,184,179.40992063492064,40.221120167944605,0.9754439681607594,0.9514909350212087,333.34725057263273
101,202,202,196.82579365079363,43.769171197777396,0.9774118880659218,0.9553339989325901,366.53075578445277
103,205,205,200.68373015873019,44.23128094881454,0.9776452213767041,0.9557901788807047,371.8511257319576
107,212,212,208.39960317460316,45.368663717470106,0.9781994966490323,0.95687425524442,384.52013471735705
109,217,217,212.25753968253971,46.25536315948715,0.978612903378635,0.9576832146591617,393.8753805270632
113,225,225,219.9734126984127,47.59499508573979,0.9792085726363039,0.9588494287244277,408.57441788152704
127,264,264,258.5244227994228,54.49830803149281,0.9818181279741782,0.9639668364187197,480.2776461234893
131,271,271,266.60393217893215,55.58749359955261,0.9821711899013718,0.9646602462722765,492.9325333965405
137,284,284,278.72319624819625,57.72380102311016,0.9828253190582752,0.9659456077820003,516.9485609653511
