role,grid_n,index,window,target,predicted,residual,percent_error
P,320,272,postfreeze-evaluation,502.27627032711825,298.6817686050626,-203.59450172205567,40.534365995323725
P,320,273,postfreeze-evaluation,504.49977331342774,300.2488085796116,-204.25096473381615,40.485838753176665
P,320,274,postfreeze-evaluation,505.41523174224443,301.5551586862752,-203.86007305596922,40.33516606795408
P,320,275,postfreeze-evaluation,506.46415270952355,303.2932965953641,-203.17085611415945,40.115545202403624
P,320,276,postfreeze-evaluation,508.8007003364678,305.5202745086138,-203.280425827854,39.952858888249466
P,320,277,postfreeze-evaluation,510.26422794367284,306.4468318988458,-203.81739604482703,39.94350081450861
P,320,278,postfreeze-evaluation,511.5622897003746,307.03995585589496,-204.52233384447965,39.97994730304881
P,320,279,postfreeze-evaluation,512.6231445314074,309.0124282325125,-203.61071629889494,39.71937640174577
P,320,280,postfreeze-evaluation,513.6689855554737,310.13217714911025,-203.53680840636343,39.624118669781446
P,320,281,postfreeze-evaluation,515.4350571672994,310.6927582392499,-204.74229892804954,39.722230003768345
P,320,282,postfreeze-evaluation,517.5896685724674,313.1010157992461,-204.4886527732213,39.50786988024877
P,320,283,postfreeze-evaluation,518.2342231475501,314.65657082943187,-203.57765231811823,39.282942581766974
P,320,284,postfreeze-evaluation,520.1063104117233,317.1330968688984,-202.97321354282485,39.025331836898594
P,320,285,postfreeze-evaluation,521.525193449492,318.6986596649741,-202.8265337845179,38.89103275011027
P,320,286,postfreeze-evaluation,522.4566961777302,319.4625505015816,-202.99414567614866,38.85377432450282
P,320,287,postfreeze-evaluation,523.9605308920159,321.2915002643397,-202.6690306276762,38.68020942009555
P,320,288,postfreeze-evaluation,525.0773856872796,323.3965567400372,-201.6808289472424,38.40973434482617
P,320,289,postfreeze-evaluation,527.9036416012724,325.50133909118756,-202.40230251008484,38.34076648839639
P,320,290,postfreeze-evaluation,528.4062138522927,327.0267689831769,-201.3794448691158,38.11072610236339
P,320,291,postfreeze-evaluation,529.8062263187069,328.8803644640875,-200.92586185461937,37.92440554176343
P,320,292,postfreeze-evaluation,530.866917883961,331.18310022902375,-199.6838176549373,37.614665922464766
P,320,293,postfreeze-evaluation,532.6881830282937,331.79248668626974,-200.89569634202394,37.71356353353786
P,320,294,postfreeze-evaluation,533.7796307537687,334.17510547001916,-199.60452528374958,37.39455643930832
P,320,295,postfreeze-evaluation,535.6643140758732,335.54867779531537,-200.11563628055785,37.35840357889005
P,320,296,postfreeze-evaluation,537.0697590831223,338.32166279267165,-198.7480962904507,37.00601140338837
P,320,297,postfreeze-evaluation,538.4285261762479,339.91071067059636,-198.51781550565158,36.86985474478171
P,320,298,postfreeze-evaluation,540.2131663762282,342.43476312011126,-197.77840325611692,36.61117787684118
P,320,299,postfreeze-evaluation,540.6313902472951,343.77981475597073,-196.8515754913244,36.41142172697015
P,320,300,postfreeze-evaluation,541.8474371212013,345.39735928440217,-196.45007783679915,36.25560709127371
P,352,1,train,14.1347,14.1347,0.0,0.0
P,352,2,train,21.022,22.411738151330926,1.3897381513309277,6.610875042008029
