orbit_id,code,sr_block_length,inverse_class_code,self_reverse,matrix_a,matrix_b,matrix_c,matrix_d,trace,discriminant,adjoint_trace_q,geodesic_length,norm,stable_multiplier,unstable_multiplier,trace_multiplicity_within_block_cutoff
MOD-001176,1121121221212,13,1121221221212,False,-302,-185,-111,-68,370,136896,136898,11.826991401912668,136897.9999926953,7.304708615563111e-06,136897.9999926953,28
MOD-001177,1121121221222,13,1112112122122,False,-253,-68,-93,-25,278,77280,77282,11.255216348301271,77281.99998706038,1.2939623717908877e-05,77281.99998706038,34
MOD-001178,1121121222122,13,1112122122112,False,-242,-87,-89,-32,274,75072,75074,11.226229572572072,75073.99998667982,1.3320190747494837e-05,75073.99998667982,22
MOD-001179,1121121222212,13,1111212212212,False,-193,-106,-71,-39,232,53820,53822,10.893437584151966,53821.99998142024,1.857976292863899e-05,53821.99998142024,22
MOD-001180,1121121222222,13,1111112122122,False,-125,-19,-46,-7,132,17420,17422,9.765489051084227,17421.99994260131,5.7398691498944424e-05,17421.99994260131,12
MOD-001181,1121122112122,13,1121221122122,False,-287,-111,-106,-41,328,107580,107582,11.586008626384162,107581.99999070476,9.295235263207614e-06,107581.99999070476,8
MOD-001182,1121122112212,13,1122112212212,False,-268,-157,-99,-58,326,106272,106274,11.573775943543486,106273.99999059035,9.409639235264894e-06,106273.99999059035,20
MOD-001183,1121122112222,13,1111221122122,False,-203,-46,-75,-17,220,48396,48398,10.787213769109965,48397.99997933799,2.066201083571467e-05,48397.99997933799,16
MOD-001184,1121122121122,13,1122121122122,False,-284,-119,-105,-44,328,107580,107582,11.586008626384162,107581.99999070476,9.295235263207614e-06,107581.99999070476,8
MOD-001185,1121122121212,13,1122122121212,False,-311,-192,-115,-71,382,145920,145922,11.890827511307618,145921.99999314704,6.852976247906164e-06,145921.99999314704,16
MOD-001186,1121122121222,13,1112121122122,False,-265,-73,-98,-27,292,85260,85262,11.35348414756544,85261.99998827145,1.1728554340005617e-05,85261.99998827145,22
MOD-001187,1121122122122,13,1121121122122,False,-273,-100,-101,-37,310,96096,96098,11.473123782979005,96097.99998959395,1.040604383138344e-05,96097.99998959395,18
MOD-001188,1121122122212,13,1112112212212,False,-227,-127,-84,-47,274,75072,75074,11.226229572572072,75073.99998667982,1.3320190747494837e-05,75073.99998667982,22
